index,Time,NOR Speed,PIA Speed,VER Speed
315,0 days 00:00:28.647000,180.0,NaN,NaN
316,0 days 00:00:28.657000,NaN,NaN,157.0
317,0 days 00:00:28.858000,NaN,NaN,144.0
318,0 days 00:00:28.927000,152.0,NaN,NaN
319,0 days 00:00:29.030000,NaN,153.0,NaN
320,0 days 00:00:29.207000,132.0,NaN,NaN
321,0 days 00:00:29.217000,NaN,NaN,130.0
322,0 days 00:00:29.270000,NaN,140.0,NaN
323,0 days 00:00:29.497000,NaN,NaN,121.0
324,0 days 00:00:29.567000,125.0,NaN,NaN
325,0 days 00:00:29.631000,NaN,136.0,NaN
326,0 days 00:00:29.789000,NaN,123.0,NaN
327,0 days 00:00:29.807000,117.0,NaN,NaN
328,0 days 00:00:29.858000,NaN,NaN,112.0
329,0 days 00:00:29.968000,118.0,NaN,NaN
330,0 days 00:00:29.989000,NaN,117.0,NaN
331,0 days 00:00:30.097000,NaN,NaN,111.0
332,0 days 00:00:30.150000,NaN,115.0,NaN
333,0 days 00:00:30.288000,120.0,NaN,NaN
334,0 days 00:00:30.297000,NaN,NaN,114.0
335,0 days 00:00:30.470000,NaN,115.0,NaN
336,0 days 00:00:30.538000,NaN,NaN,125.0
337,0 days 00:00:30.686000,132.0,NaN,NaN
338,0 days 00:00:30.778000,NaN,NaN,130.0
339,0 days 00:00:30.829000,NaN,126.0,NaN
340,0 days 00:00:30.847000,132.0,NaN,NaN
341,0 days 00:00:31.018000,NaN,NaN,131.0
342,0 days 00:00:31.070000,NaN,126.0,NaN
343,0 days 00:00:31.127000,128.0,NaN,NaN
344,0 days 00:00:31.218000,NaN,NaN,132.0
345,0 days 00:00:31.407000,132.0,NaN,NaN
346,0 days 00:00:31.457000,NaN,NaN,140.0
347,0 days 00:00:31.510000,NaN,134.0,NaN
348,0 days 00:00:31.567000,136.0,NaN,NaN
349,0 days 00:00:31.818000,NaN,NaN,151.0
350,0 days 00:00:31.870000,NaN,144.0,NaN
351,0 days 00:00:31.887000,154.0,NaN,NaN
352,0 days 00:00:32.127000,165.0,NaN,NaN
353,0 days 00:00:32.138000,NaN,NaN,170.0
354,0 days 00:00:32.269000,NaN,163.0,NaN
355,0 days 00:00:32.418000,NaN,NaN,183.0
356,0 days 00:00:32.447000,178.0,NaN,NaN
357,0 days 00:00:32.470000,NaN,174.0,NaN
358,0 days 00:00:32.647000,186.0,NaN,NaN
359,0 days 00:00:32.658000,NaN,NaN,194.0
360,0 days 00:00:32.859000,NaN,NaN,201.0
361,0 days 00:00:32.870000,NaN,191.0,NaN
362,0 days 00:00:32.967000,198.0,NaN,NaN
363,0 days 00:00:33.018000,NaN,NaN,204.0
364,0 days 00:00:33.109000,NaN,201.0,NaN
365,0 days 00:00:33.166000,202.0,NaN,NaN
366,0 days 00:00:33.258000,NaN,NaN,215.0
367,0 days 00:00:33.349000,NaN,209.0,NaN
368,0 days 00:00:33.458000,NaN,NaN,221.0
369,0 days 00:00:33.487000,219.0,NaN,NaN
370,0 days 00:00:33.618000,NaN,NaN,224.0
371,0 days 00:00:33.647000,219.0,NaN,NaN
372,0 days 00:00:33.750000,NaN,221.0,NaN
373,0 days 00:00:33.858000,NaN,NaN,232.0
374,0 days 00:00:33.927000,231.0,NaN,NaN
375,0 days 00:00:34.110000,NaN,233.0,NaN
376,0 days 00:00:34.207000,239.0,NaN,NaN
377,0 days 00:00:34.219000,NaN,NaN,240.0
378,0 days 00:00:34.270000,NaN,235.0,NaN
379,0 days 00:00:34.447000,243.0,NaN,NaN
380,0 days 00:00:34.458000,NaN,NaN,247.0
381,0 days 00:00:34.590000,NaN,243.0,NaN
382,0 days 00:00:34.687000,251.0,NaN,NaN
383,0 days 00:00:34.738000,NaN,NaN,252.0
384,0 days 00:00:34.830000,NaN,250.0,NaN
385,0 days 00:00:34.927000,255.0,NaN,NaN
386,0 days 00:00:34.938000,NaN,NaN,257.0
387,0 days 00:00:35.110000,NaN,256.0,NaN
388,0 days 00:00:35.127000,259.0,NaN,NaN
389,0 days 00:00:35.287000,260.0,NaN,NaN
390,0 days 00:00:35.298000,NaN,NaN,263.0
391,0 days 00:00:35.390000,NaN,260.0,NaN
392,0 days 00:00:35.487000,264.0,NaN,NaN
393,0 days 00:00:35.537000,NaN,NaN,265.0
394,0 days 00:00:35.750000,NaN,265.0,NaN
395,0 days 00:00:35.847000,261.0,NaN,NaN
396,0 days 00:00:35.858000,NaN,NaN,253.0
397,0 days 00:00:35.990000,NaN,266.0,NaN
398,0 days 00:00:36.007000,250.0,NaN,NaN
399,0 days 00:00:36.057000,NaN,NaN,241.0
400,0 days 00:00:36.151000,NaN,263.0,NaN
401,0 days 00:00:36.218000,NaN,NaN,238.0
402,0 days 00:00:36.248000,241.0,NaN,NaN
403,0 days 00:00:36.447000,241.0,NaN,NaN
404,0 days 00:00:36.471000,NaN,241.0,NaN
405,0 days 00:00:36.577000,NaN,NaN,221.0
406,0 days 00:00:36.727000,224.0,NaN,NaN
407,0 days 00:00:36.869000,NaN,228.0,NaN
408,0 days 00:00:36.897000,NaN,NaN,214.0
409,0 days 00:00:37.008000,215.0,NaN,NaN
410,0 days 00:00:37.030000,NaN,223.0,NaN
411,0 days 00:00:37.177000,NaN,NaN,208.0
412,0 days 00:00:37.246000,214.0,NaN,NaN
413,0 days 00:00:37.310000,NaN,215.0,NaN
414,0 days 00:00:37.338000,NaN,NaN,210.0
415,0 days 00:00:37.446000,217.0,NaN,NaN
416,0 days 00:00:37.538000,NaN,NaN,213.0
417,0 days 00:00:37.590000,NaN,216.0,NaN
418,0 days 00:00:37.647000,220.0,NaN,NaN
419,0 days 00:00:37.738000,NaN,NaN,216.0
420,0 days 00:00:37.750000,NaN,219.0,NaN
421,0 days 00:00:38.006000,228.0,NaN,NaN
422,0 days 00:00:38.018000,NaN,NaN,225.0
423,0 days 00:00:38.070000,NaN,224.0,NaN
424,0 days 00:00:38.286000,233.0,NaN,NaN
425,0 days 00:00:38.310000,NaN,230.0,NaN
426,0 days 00:00:38.458000,NaN,NaN,235.0
427,0 days 00:00:38.630000,NaN,236.0,NaN
428,0 days 00:00:38.647000,240.0,NaN,NaN
429,0 days 00:00:38.698000,NaN,NaN,240.0
430,0 days 00:00:38.830000,NaN,242.0,NaN
431,0 days 00:00:38.886000,246.0,NaN,NaN
432,0 days 00:00:38.898000,NaN,NaN,244.0
433,0 days 00:00:39.086000,248.0,NaN,NaN
434,0 days 00:00:39.138000,NaN,NaN,248.0
435,0 days 00:00:39.150000,NaN,247.0,NaN
436,0 days 00:00:39.327000,254.0,NaN,NaN
437,0 days 00:00:39.349000,NaN,249.0,NaN
438,0 days 00:00:39.498000,NaN,NaN,257.0
439,0 days 00:00:39.567000,258.0,NaN,NaN
440,0 days 00:00:39.670000,NaN,257.0,NaN
441,0 days 00:00:39.807000,264.0,NaN,NaN
442,0 days 00:00:39.818000,NaN,NaN,262.0
443,0 days 00:00:39.830000,NaN,261.0,NaN
444,0 days 00:00:40.007000,267.0,NaN,NaN
445,0 days 00:00:40.058000,NaN,NaN,268.0
446,0 days 00:00:40.110000,NaN,266.0,NaN
447,0 days 00:00:40.246000,270.0,NaN,NaN
